season,date,tournament,level,classification,classification_evidence,round,surface,home_player,away_player,home_player_id,away_player_id,winner_code,home_set_score,away_set_score,source,match_key
2021,2021-05-02,Saint Malo Chall. Women - Qualification,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Qualifier,clay,Heisen V.,Kung L.,844493,329751,1.0,2.0,1.0,TennisData.app,def05eb61b2624b258117656
2021,2021-05-02,Saint Malo Chall. Women - Qualification,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Qualifier,clay,Lohoff J.,Hesse A.,451003,526053,2.0,0.0,2.0,TennisData.app,1ec0c35afa0f8b623b471a93
2021,2021-05-02,Saint Malo Chall. Women - Qualification,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Qualifier,clay,Sizikova Y.,Andrianjafitrimo T.,364743,789917,2.0,1.0,2.0,TennisData.app,7915b2629238939e1357eb24
2021,2021-05-02,Saint Malo Chall. Women - Qualification,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Qualifier,clay,Stefani L.,Nara K.,259144,841398,1.0,2.0,1.0,TennisData.app,40b0f66f05d77ccfc5c1075b
2021,2021-05-03,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Baindl K.,Parry D.,455355,671871,1.0,2.0,0.0,TennisData.app,ded678ca10ee4a931b14c424
2021,2021-05-03,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Bolsova Zadoinov A.,Trevisan M.,745434,357952,1.0,2.0,0.0,TennisData.app,3aec0fe2ccb083f4512c0caf
2021,2021-05-03,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Burel C.,Golubic V.,289001,988932,2.0,0.0,2.0,TennisData.app,f46535657167a2e972c19702
2021,2021-05-03,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Cornet A.,Dodin O.,151624,192862,2.0,1.0,2.0,TennisData.app,f3c69e618ce12c58f2066b42
2021,2021-05-03,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Schmiedlova A. K.,Van Uytvanck A.,537908,819607,1.0,2.0,1.0,TennisData.app,f431cd781606b3432f0d77bd
2021,2021-05-03,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Tan H.,Wang Y.,141528,927809,1.0,2.0,1.0,TennisData.app,addeb0d4b7d31605ada9c92f
2021,2021-05-03,Saint Malo Chall. Women - Qualification,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Qualifier,clay,Tauson C.,Hesse A.,359411,526053,1.0,2.0,0.0,TennisData.app,b735605cc068771f09d820c2
