tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,_source,_source_file,_source_year,_retrieved_at,_original_row_number,_match_key,_dedup_status,_year_conflict,_stat_integrity_conflicts,_winner_name_normalized,_loser_name_normalized,_tourney_name_normalized,_round_normalized,_surface_normalized
2013-2205,Noumea,Hard,32,C,,20121231,1,D632,1,,Steve Darcis,R,175,BEL,28.802,93,571,F634,,,Isaac Frost,,,AUS,23.984,841,15,7-6(4) 6-3,3,R32,87,0,3,67,52,40,8,11,3,4,7,2,55,30,19,14,10,0,2,TennisMyLife,2013_challenger.csv,2013,2026-08-23T06:37:21.010456+00:00,2,abd349906d0573c0a6d20d17557942ef,NEW_MATCH,1,,steve darcis,isaac frost,noumea,r32,hard
2013-2205,Noumea,Hard,32,C,,20121231,2,MF71,,,Denys Molchanov,R,188,UKR,25.629,267,179,S963,2,,Florent Serra,R,180,FRA,31.838,118,488,6-4 7-5,3,R32,102,7,4,93,53,38,18,11,10,12,1,1,61,32,22,14,11,3,7,TennisMyLife,2013_challenger.csv,2013,2026-08-23T06:37:21.010456+00:00,3,8478e070ebd457d1c3387a7e24433a39,NEW_MATCH,1,,denys molchanov,florent serra,noumea,r32,hard
2013-2205,Noumea,Hard,32,C,,20121231,3,G436,3,,Marc Gicquel,R,188,FRA,35.756,152,368,D469,,,Nicolas Devilder,L,173,FRA,32.769,204,236,6-2 6-4,3,R32,65,6,3,57,32,28,14,9,6,6,1,3,50,25,13,15,9,1,4,TennisMyLife,2013_challenger.csv,2013,2026-08-23T06:37:21.010456+00:00,4,a52e5eb59ed9bd7c43c3f8a4b692f3b1,NEW_MATCH,1,,marc gicquel,nicolas devilder,noumea,r32,hard
2013-2205,Noumea,Hard,32,C,,20121231,4,D729,4,,Jonathan Dasnieres de Veigy,L,175,FRA,25.988,154,364,N390,,,Frederik Nielsen,R,188,DEN,29.347,392,101,0-6 6-4 6-3,3,R32,102,2,4,68,43,32,9,12,7,11,2,0,95,74,45,9,13,13,17,TennisMyLife,2013_challenger.csv,2013,2026-08-23T06:37:21.010456+00:00,5,f028c987bc57ad82a87886cd2dd27b79,NEW_MATCH,1,,jonathan dasnieres de veigy,frederik nielsen,noumea,r32,hard
2013-2205,Noumea,Hard,32,C,,20121231,5,PB22,5,,Peter Polansky,R,183,CAN,24.545,180,288,D487,,,Lukas Dlouhy,R,185,CZE,29.73,1580,1,6-3 7-5,3,R32,75,0,4,61,39,32,7,10,4,6,5,7,86,64,36,9,11,5,10,TennisMyLife,2013_challenger.csv,2013,2026-08-23T06:37:21.010456+00:00,6,8fd79ed177f20d7666fdfefa69e47d05,NEW_MATCH,1,,peter polansky,lukas dlouhy,noumea,r32,hard
2013-2205,Noumea,Hard,32,C,,20121231,6,MB53,6,,Adrian Menendez-Maceiras,R,183,ESP,27.176,188,257,D916,,,Steven Diez,R,175,CAN,21.793,234,203,6-3 6-7(5) 7-6(5),3,R32,197,7,2,117,74,54,26,17,3,4,2,4,111,66,50,22,16,5,7,TennisMyLife,2013_challenger.csv,2013,2026-08-23T06:37:21.010456+00:00,7,1c23278165bbf734d5fbc05d5b4f2840,NEW_MATCH,1,,adrian menendez maceiras,steven diez,noumea,r32,hard
2013-2205,Noumea,Hard,32,C,,20121231,7,ME82,7,,Adrian Mannarino,L,180,FRA,24.507,192,247,E861,,,Nicolas Ernst,R,,GER,26.01,,,6-2 6-1,3,R32,53,5,1,36,22,21,8,7,0,0,2,2,53,36,18,7,8,3,8,TennisMyLife,2013_challenger.csv,2013,2026-08-23T06:37:21.010456+00:00,8,9aaa59ab8222d46b7866bae38e97f66e,NEW_MATCH,1,,adrian mannarino,nicolas ernst,noumea,r32,hard
2013-2205,Noumea,Hard,32,C,,20121231,8,R612,,,Stephane Robert,R,185,FRA,32.624,273,174,W471,8,,Amir Weintraub,R,185,ISR,26.292,195,244,6-4 0-6 6-4,3,R32,159,4,3,68,43,27,13,13,1,6,5,2,75,46,29,14,13,3,7,TennisMyLife,2013_challenger.csv,2013,2026-08-23T06:37:21.010456+00:00,9,d105eaa26f6df984599cfff235c53d67,NEW_MATCH,1,,stephane robert,amir weintraub,noumea,r32,hard
2013-2205,Noumea,Hard,32,C,,20121231,9,BC36,,,Gregoire Burquier,L,,FRA,28.482,206,232,PC29,,,Dane Propoggia,,,AUS,22.689,427,87,7-6(2) 5-7 6-3,3,R32,149,8,0,98,69,48,16,17,3,7,14,7,120,72,50,19,16,9,13,TennisMyLife,2013_challenger.csv,2013,2026-08-23T06:37:21.010456+00:00,10,4540175fa20f884d4ea8a340eb100345,NEW_MATCH,1,,gregoire burquier,dane propoggia,noumea,r32,hard
2013-2205,Noumea,Hard,32,C,,20121231,10,CD00,,,Maxime Chazal,R,175,FRA,19.688,1274,4,N604,,,Nicolas N'Godrela,,,FRA,28.235,1051,7,7-5 7-6(4),3,R32,101,0,3,75,56,34,8,12,6,11,1,2,73,52,30,8,12,6,12,TennisMyLife,2013_challenger.csv,2013,2026-08-23T06:37:21.010456+00:00,11,c3197a4f5ca1c08ece43148a3650ad50,NEW_MATCH,1,,maxime chazal,nicolas n godrela,noumea,r32,hard
