season,date,player,opponent,tournament,surface,tournament_type,won,sets_for,sets_against,elo_pre,elo_post
2015,2015-01-04,Jan Hernych,Rhyne Williams,brisbane,hard,atp_250,0,0,2,1524.4,1508.29
2015,2015-01-04,Rhyne Williams,Jan Hernych,brisbane,hard,atp_250,1,2,0,1522.1,1538.21
2015,2015-01-04,Norbert Gombos,Enrique Lopez Perez,brisbane,hard,atp_250,1,2,1,1544.3,1559.34
2015,2015-01-04,Enrique Lopez Perez,Norbert Gombos,brisbane,hard,atp_250,0,1,2,1523.5,1508.46
2015,2015-01-04,Matt Reid,Hans Podlipnik-Castillo,brisbane,hard,atp_250,1,2,0,1518.9,1535.31
2015,2015-01-04,Hans Podlipnik-Castillo,Matt Reid,brisbane,hard,atp_250,0,0,2,1527.9,1511.49
2015,2015-01-04,Roberto Marcora,Jan Mertl,brisbane,hard,atp_250,0,1,2,1520.6,1504.71
2015,2015-01-04,Jan Mertl,Roberto Marcora,brisbane,hard,atp_250,1,2,1,1522.9,1538.79
2015,2015-01-04,Pierre-Hugues Herbert,Alexander Zverev,brisbane,hard,atp_250,1,2,0,1551.1,1566.54
2015,2015-01-04,Alexander Zverev,Pierre-Hugues Herbert,brisbane,hard,atp_250,0,0,2,1538.9,1523.46
2015,2015-01-04,Jozef Kovalik,Marsel Ilhan,brisbane,hard,atp_250,0,1,2,1524.3,1509.72
2015,2015-01-04,Marsel Ilhan,Jozef Kovalik,brisbane,hard,atp_250,1,2,1,1555.3,1569.88
2015,2015-01-04,Taro Daniel,Antonio Veic,brisbane,hard,atp_250,1,2,0,1528.7,1544.34
2015,2015-01-04,Antonio Veic,Taro Daniel,brisbane,hard,atp_250,0,0,2,1520.8,1505.16
2015,2015-01-04,Marius Copil,Andrea Arnaboldi,brisbane,hard,atp_250,1,2,1,1524.2,1540.38
2015,2015-01-04,Andrea Arnaboldi,Marius Copil,brisbane,hard,atp_250,0,1,2,1528.1,1511.92
2015,2015-01-04,Denis Kudla,Dane Propoggia,brisbane,hard,atp_250,1,2,0,1544,1558.65
2015,2015-01-04,Dane Propoggia,Denis Kudla,brisbane,hard,atp_250,0,0,2,1514.6,1499.95
2015,2015-01-04,Miloslav Mecir,Michal Przysiezny,brisbane,hard,atp_250,1,2,1,1524.8,1541.03
2015,2015-01-04,Michal Przysiezny,Miloslav Mecir,brisbane,hard,atp_250,0,1,2,1529.8,1513.57
2015,2015-01-04,Tim Smyczek,Robby Ginepri,brisbane,hard,atp_250,1,2,0,1550.2,1564.9
2015,2015-01-04,Robby Ginepri,Tim Smyczek,brisbane,hard,atp_250,0,0,2,1521.9,1507.2
2015,2015-01-04,Alex Kuznetsov,Lukasz Kubot,brisbane,hard,atp_250,0,0,2,1527.3,1511.34
2015,2015-01-04,Lukasz Kubot,Alex Kuznetsov,brisbane,hard,atp_250,1,2,0,1528.2,1544.16
2015,2015-01-04,Yasutaka Uchiyama,Lucas Pouille,brisbane,hard,atp_250,1,2,0,1516.7,1533.73
2015,2015-01-04,Lucas Pouille,Yasutaka Uchiyama,brisbane,hard,atp_250,0,0,2,1539.1,1522.07
2015,2015-01-04,Maverick Banes,Viktor Troicki,brisbane,hard,atp_250,0,0,2,1512.7,1498.67
2015,2015-01-04,Viktor Troicki,Maverick Banes,brisbane,hard,atp_250,1,2,0,1555.8,1569.83
2015,2015-01-04,Frank Dancevic,Harry Bourchier,brisbane,hard,atp_250,1,2,1,1536.2,1550.54
2015,2015-01-04,Harry Bourchier,Frank Dancevic,brisbane,hard,atp_250,0,1,2,1500,1485.66
2015,2015-01-04,Tobias Kamke,Blake Mott,brisbane,hard,atp_250,1,2,1,1556,1569.44
2015,2015-01-04,Blake Mott,Tobias Kamke,brisbane,hard,atp_250,0,1,2,1500,1486.56
2015,2015-01-04,Marsel Ilhan,Jan Mertl,brisbane,hard,atp_250,1,2,1,1569.88,1584.45
2015,2015-01-04,Jan Mertl,Marsel Ilhan,brisbane,hard,atp_250,0,1,2,1538.79,1524.22
2015,2015-01-04,Denis Kudla,Taro Daniel,brisbane,hard,atp_250,1,2,1,1558.65,1573.99
2015,2015-01-04,Taro Daniel,Denis Kudla,brisbane,hard,atp_250,0,1,2,1544.34,1529
2015,2015-01-04,Miloslav Mecir,Viktor Troicki,brisbane,hard,atp_250,0,1,2,1541.03,1526.35
2015,2015-01-04,Viktor Troicki,Miloslav Mecir,brisbane,hard,atp_250,1,2,1,1569.83,1584.5
2015,2015-01-04,Tim Smyczek,Marius Copil,brisbane,hard,atp_250,0,0,2,1564.9,1547.77
2015,2015-01-04,Marius Copil,Tim Smyczek,brisbane,hard,atp_250,1,2,0,1540.38,1557.51
2015,2015-01-04,Frank Dancevic,Tobias Kamke,brisbane,hard,atp_250,1,2,0,1550.54,1567.41
2015,2015-01-04,Tobias Kamke,Frank Dancevic,brisbane,hard,atp_250,0,0,2,1569.44,1552.57
2015,2015-01-04,Lukasz Kubot,Yasutaka Uchiyama,brisbane,hard,atp_250,1,2,1,1544.16,1559.68
2015,2015-01-04,Yasutaka Uchiyama,Lukasz Kubot,brisbane,hard,atp_250,0,1,2,1533.73,1518.21
2015,2015-01-04,Rhyne Williams,Pierre-Hugues Herbert,brisbane,hard,atp_250,1,2,0,1538.21,1555.51
2015,2015-01-04,Pierre-Hugues Herbert,Rhyne Williams,brisbane,hard,atp_250,0,0,2,1566.54,1549.24
2015,2015-01-04,Norbert Gombos,Matt Reid,brisbane,hard,atp_250,0,1,2,1559.34,1542.24
2015,2015-01-04,Matt Reid,Norbert Gombos,brisbane,hard,atp_250,1,2,1,1535.31,1552.42
2015,2015-01-04,Rhyne Williams,Matt Reid,brisbane,hard,atp_250,1,2,0,1555.51,1571.37
2015,2015-01-04,Matt Reid,Rhyne Williams,brisbane,hard,atp_250,0,0,2,1552.42,1536.56
2015,2015-01-04,Marsel Ilhan,Marius Copil,brisbane,hard,atp_250,0,0,2,1584.45,1567.21
2015,2015-01-04,Marius Copil,Marsel Ilhan,brisbane,hard,atp_250,1,2,0,1557.51,1574.75
2015,2015-01-04,Frank Dancevic,Lukasz Kubot,brisbane,hard,atp_250,0,0,2,1567.41,1551.05
2015,2015-01-04,Lukasz Kubot,Frank Dancevic,brisbane,hard,atp_250,1,2,0,1559.68,1576.03
2015,2015-01-04,Denis Kudla,Viktor Troicki,brisbane,hard,atp_250,1,2,0,1573.99,1590.47
2015,2015-01-04,Viktor Troicki,Denis Kudla,brisbane,hard,atp_250,0,0,2,1584.5,1568.02
2015,2015-01-04,Sam Querrey,Bernard Tomic,brisbane,hard,atp_250,0,0,2,1609,1591.65
2015,2015-01-04,Bernard Tomic,Sam Querrey,brisbane,hard,atp_250,1,2,0,1579.7,1597.05
2015,2015-01-04,Mikhail Kukushkin,Marius Copil,brisbane,hard,atp_250,1,2,1,1570.5,1586.7
2015,2015-01-04,Marius Copil,Mikhail Kukushkin,brisbane,hard,atp_250,0,1,2,1574.75,1558.55
2015,2015-01-04,Martin Klizan,Jurgen Melzer,brisbane,hard,atp_250,1,2,1,1609.4,1622.71
2015,2015-01-04,Jurgen Melzer,Martin Klizan,brisbane,hard,atp_250,0,1,2,1550.5,1537.19
2015,2015-01-04,Kevin Anderson,Lukasz Kubot,brisbane,hard,atp_250,0,0,2,1708,1686.2
2015,2015-01-04,Lukasz Kubot,Kevin Anderson,brisbane,hard,atp_250,1,2,0,1576.03,1597.84
2015,2015-01-04,Jeremy Chardy,Andrey Golubev,brisbane,hard,atp_250,1,2,0,1619.5,1633.2
2015,2015-01-04,Andrey Golubev,Jeremy Chardy,brisbane,hard,atp_250,0,0,2,1569.1,1555.4
2015,2015-01-04,Carlos Berlocq,Alexandr Dolgopolov,brisbane,hard,atp_250,0,0,2,1570,1557.42
2015,2015-01-04,Alexandr Dolgopolov,Carlos Berlocq,brisbane,hard,atp_250,1,2,0,1645.5,1658.08
2015,2015-01-04,James Duckworth,Gilles Simon,brisbane,hard,atp_250,1,2,0,1543,1564.72
2015,2015-01-04,Gilles Simon,James Duckworth,brisbane,hard,atp_250,0,0,2,1673,1651.28
2015,2015-01-04,Rhyne Williams,John Millman,brisbane,hard,atp_250,0,0,2,1571.37,1553.6
2015,2015-01-04,John Millman,Rhyne Williams,brisbane,hard,atp_250,1,2,0,1532.8,1550.57
2015,2015-01-04,Denis Kudla,Jarkko Nieminen,brisbane,hard,atp_250,0,1,2,1590.47,1573.48
2015,2015-01-04,Jarkko Nieminen,Denis Kudla,brisbane,hard,atp_250,1,2,1,1568.9,1585.89
2015,2015-01-04,Marinko Matosevic,Steve Johnson,brisbane,hard,atp_250,0,1,2,1565.7,1551.27
2015,2015-01-04,Steve Johnson,Marinko Matosevic,brisbane,hard,atp_250,1,2,1,1599.9,1614.33
2015,2015-01-04,Lleyton Hewitt,Sam Groth,brisbane,hard,atp_250,0,0,2,1559.5,1543.46
2015,2015-01-04,Sam Groth,Lleyton Hewitt,brisbane,hard,atp_250,1,2,0,1558.6,1574.64
2015,2015-01-04,Thanasi Kokkinakis,Julien Benneteau,brisbane,hard,atp_250,1,2,0,1534.1,1554.68
2015,2015-01-04,Julien Benneteau,Thanasi Kokkinakis,brisbane,hard,atp_250,0,0,2,1636.5,1615.92
2015,2015-01-04,Mikhail Kukushkin,Milos Raonic,brisbane,hard,atp_250,0,0,2,1586.7,1582.71
2015,2015-01-04,Milos Raonic,Mikhail Kukushkin,brisbane,hard,atp_250,1,2,0,1944,1947.99
2015,2015-01-04,Grigor Dimitrov,Jeremy Chardy,brisbane,hard,atp_250,1,2,1,1864.5,1871.85
2015,2015-01-04,Jeremy Chardy,Grigor Dimitrov,brisbane,hard,atp_250,0,1,2,1633.2,1625.84
2015,2015-01-04,Alexandr Dolgopolov,Martin Klizan,brisbane,hard,atp_250,0,1,2,1658.08,1638.69
2015,2015-01-04,Martin Klizan,Alexandr Dolgopolov,brisbane,hard,atp_250,1,2,1,1622.71,1642.1
2015,2015-01-04,Thanasi Kokkinakis,Bernard Tomic,brisbane,hard,atp_250,0,0,2,1554.68,1539.22
2015,2015-01-04,Bernard Tomic,Thanasi Kokkinakis,brisbane,hard,atp_250,1,2,0,1597.05,1612.51
2015,2015-01-04,James Duckworth,Jarkko Nieminen,brisbane,hard,atp_250,1,2,1,1564.72,1583.39
2015,2015-01-04,Jarkko Nieminen,James Duckworth,brisbane,hard,atp_250,0,1,2,1585.89,1567.22
2015,2015-01-04,Sam Groth,Lukasz Kubot,brisbane,hard,atp_250,1,2,1,1574.64,1593.41
2015,2015-01-04,Lukasz Kubot,Sam Groth,brisbane,hard,atp_250,0,1,2,1597.84,1579.06
2015,2015-01-04,Steve Johnson,Kei Nishikori,brisbane,hard,atp_250,0,0,2,1614.33,1610.93
2015,2015-01-04,Kei Nishikori,Steve Johnson,brisbane,hard,atp_250,1,2,0,2002.5,2005.9
2015,2015-01-04,John Millman,Roger Federer,brisbane,hard,atp_250,0,1,2,1550.57,1550.27
2015,2015-01-04,Roger Federer,John Millman,brisbane,hard,atp_250,1,2,1,2462.5,2462.8
2015,2015-01-04,Bernard Tomic,Kei Nishikori,brisbane,hard,atp_250,0,0,2,1612.51,1608.9
2015,2015-01-04,Kei Nishikori,Bernard Tomic,brisbane,hard,atp_250,1,2,0,2005.9,2009.52
2015,2015-01-04,Sam Groth,Milos Raonic,brisbane,hard,atp_250,0,1,2,1593.41,1589
2015,2015-01-04,Milos Raonic,Sam Groth,brisbane,hard,atp_250,1,2,1,1947.99,1952.4
2015,2015-01-04,James Duckworth,Roger Federer,brisbane,hard,atp_250,0,0,2,1583.39,1583.01
2015,2015-01-04,Roger Federer,James Duckworth,brisbane,hard,atp_250,1,2,0,2462.8,2463.19
2015,2015-01-04,Grigor Dimitrov,Martin Klizan,brisbane,hard,atp_250,1,2,0,1871.85,1879.93
2015,2015-01-04,Martin Klizan,Grigor Dimitrov,brisbane,hard,atp_250,0,0,2,1642.1,1634.02
2015,2015-01-04,Kei Nishikori,Milos Raonic,brisbane,hard,atp_250,0,1,2,2009.52,1985.33
2015,2015-01-04,Milos Raonic,Kei Nishikori,brisbane,hard,atp_250,1,2,1,1952.4,1976.59
2015,2015-01-04,Grigor Dimitrov,Roger Federer,brisbane,hard,atp_250,0,0,2,1879.93,1878.21
2015,2015-01-04,Roger Federer,Grigor Dimitrov,brisbane,hard,atp_250,1,2,0,2463.19,2464.91
2015,2015-01-04,Roger Federer,Milos Raonic,brisbane,hard,atp_250,1,2,1,2464.91,2467.93
2015,2015-01-04,Milos Raonic,Roger Federer,brisbane,hard,atp_250,0,1,2,1976.59,1973.57
2015,2015-01-05,Antal Van Der Duim,Ilija Bozoljac,doha,hard,atp_500,0,0,2,1518.4,1499.51
2015,2015-01-05,Ilija Bozoljac,Antal Van Der Duim,doha,hard,atp_500,1,2,0,1524,1542.89
2015,2015-01-05,Farrukh Dustov,Jassem Al Zeyara,doha,hard,atp_500,1,2,0,1546,1562.67
2015,2015-01-05,Jassem Al Zeyara,Farrukh Dustov,doha,hard,atp_500,0,0,2,1500,1483.33
2015,2015-01-05,Filip Krajinovic,Stefano Napolitano,doha,hard,atp_500,1,2,0,1555.8,1572.38
2015,2015-01-05,Stefano Napolitano,Filip Krajinovic,doha,hard,atp_500,0,0,2,1508,1491.42
2015,2015-01-05,Kyle Edmund,Blaz Kavcic,doha,hard,atp_500,0,0,2,1526,1508.37
2015,2015-01-05,Blaz Kavcic,Kyle Edmund,doha,hard,atp_500,1,2,0,1554.5,1572.13
2015,2015-01-05,Mohamed Adnaoui,Thiemo de Bakker,doha,hard,atp_500,0,0,2,1500,1482.86
2015,2015-01-05,Thiemo de Bakker,Mohamed Adnaoui,doha,hard,atp_500,1,2,0,1537.5,1554.64
2015,2015-01-05,Daniel Munoz de la Nava,Michael Berrer,doha,hard,atp_500,0,1,2,1523.6,1505.45
2015,2015-01-05,Michael Berrer,Daniel Munoz de la Nava,doha,hard,atp_500,1,2,1,1542.7,1560.85
2015,2015-01-05,Andreas Beck,Philipp Davydenko,doha,hard,atp_500,1,2,0,1549.3,1566.36
2015,2015-01-05,Philipp Davydenko,Andreas Beck,doha,hard,atp_500,0,0,2,1510.4,1493.34
2015,2015-01-05,Marco Cecchinato,Yahor Yatsyk,doha,hard,atp_500,1,2,0,1532.4,1549.81
2015,2015-01-05,Yahor Yatsyk,Marco Cecchinato,doha,hard,atp_500,0,0,2,1500,1482.59
2015,2015-01-05,Ali Al-Saygh,Matthias Bachinger,doha,hard,atp_500,0,0,2,1500,1482.88
2015,2015-01-05,Matthias Bachinger,Ali Al-Saygh,doha,hard,atp_500,1,2,0,1537.8,1554.92
2015,2015-01-05,Rajeev Ram,Pedja Krstin,doha,hard,atp_500,1,2,0,1538.1,1556.29
2015,2015-01-05,Pedja Krstin,Rajeev Ram,doha,hard,atp_500,0,0,2,1519.8,1501.61
2015,2015-01-05,James Ward,Jesse Huta Galung,doha,hard,atp_500,0,0,2,1553.9,1533.1
2015,2015-01-05,Jesse Huta Galung,James Ward,doha,hard,atp_500,1,2,0,1524.9,1545.7
2015,2015-01-05,Niels Desein,Aslan Karatsev,doha,hard,atp_500,1,2,1,1524.1,1543.21
2015,2015-01-05,Aslan Karatsev,Niels Desein,doha,hard,atp_500,0,1,2,1522.4,1503.29
2015,2015-01-05,Abdullah Shannan Alharrasi,Philipp Oswald,doha,hard,atp_500,0,0,2,1500,1480.8
2015,2015-01-05,Philipp Oswald,Abdullah Shannan Alharrasi,doha,hard,atp_500,1,2,0,1500,1519.2
2015,2015-01-05,Gastao Elias,Nikoloz Basilashvili,doha,hard,atp_500,0,0,2,1537.7,1518.04
2015,2015-01-05,Nikoloz Basilashvili,Gastao Elias,doha,hard,atp_500,1,2,0,1529.3,1548.96
2015,2015-01-05,Artem Sitak,Issa Shanan Al Harrasi,doha,hard,atp_500,1,2,0,1500,1519.2
2015,2015-01-05,Issa Shanan Al Harrasi,Artem Sitak,doha,hard,atp_500,0,0,2,1500,1480.8
2015,2015-01-05,Kimmer Coppejans,Ruben Bemelmans,doha,hard,atp_500,1,2,0,1527.2,1546.52
2015,2015-01-05,Ruben Bemelmans,Kimmer Coppejans,doha,hard,atp_500,0,0,2,1529.3,1509.98
2015,2015-01-05,Rajeev Ram,Niels Desein,doha,hard,atp_500,1,2,0,1556.29,1574.77
2015,2015-01-05,Niels Desein,Rajeev Ram,doha,hard,atp_500,0,0,2,1543.21,1524.73
2015,2015-01-05,Nikoloz Basilashvili,Philipp Oswald,doha,hard,atp_500,1,2,0,1548.96,1566.52
2015,2015-01-05,Philipp Oswald,Nikoloz Basilashvili,doha,hard,atp_500,0,0,2,1519.2,1501.64
2015,2015-01-05,Jesse Huta Galung,Thiemo de Bakker,doha,hard,atp_500,0,1,2,1545.7,1526.99
2015,2015-01-05,Thiemo de Bakker,Jesse Huta Galung,doha,hard,atp_500,1,2,1,1554.64,1573.34
2015,2015-01-05,Marco Cecchinato,Blaz Kavcic,doha,hard,atp_500,0,0,2,1549.81,1531.85
2015,2015-01-05,Blaz Kavcic,Marco Cecchinato,doha,hard,atp_500,1,2,0,1572.13,1590.1
2015,2015-01-05,Ilija Bozoljac,Filip Krajinovic,doha,hard,atp_500,0,1,2,1542.89,1525.32
2015,2015-01-05,Filip Krajinovic,Ilija Bozoljac,doha,hard,atp_500,1,2,1,1572.38,1589.95
2015,2015-01-05,Andreas Beck,Matthias Bachinger,doha,hard,atp_500,0,0,2,1566.36,1546.53
2015,2015-01-05,Matthias Bachinger,Andreas Beck,doha,hard,atp_500,1,2,0,1554.92,1574.75
2015,2015-01-05,Artem Sitak,Farrukh Dustov,doha,hard,atp_500,0,0,2,1519.2,1502.39
2015,2015-01-05,Farrukh Dustov,Artem Sitak,doha,hard,atp_500,1,2,0,1562.67,1579.48
2015,2015-01-05,Michael Berrer,Kimmer Coppejans,doha,hard,atp_500,1,2,0,1560.85,1579.25
2015,2015-01-05,Kimmer Coppejans,Michael Berrer,doha,hard,atp_500,0,0,2,1546.52,1528.11
2015,2015-01-05,Michael Berrer,Matthias Bachinger,doha,hard,atp_500,1,2,1,1579.25,1598.21
2015,2015-01-05,Matthias Bachinger,Michael Berrer,doha,hard,atp_500,0,1,2,1574.75,1555.8
2015,2015-01-05,Rajeev Ram,Blaz Kavcic,doha,hard,atp_500,0,0,2,1574.77,1556.41
2015,2015-01-05,Blaz Kavcic,Rajeev Ram,doha,hard,atp_500,1,2,0,1590.1,1608.45
2015,2015-01-05,Farrukh Dustov,Thiemo de Bakker,doha,hard,atp_500,0,0,2,1579.48,1559.94
2015,2015-01-05,Thiemo de Bakker,Farrukh Dustov,doha,hard,atp_500,1,2,0,1573.34,1592.88
2015,2015-01-05,Filip Krajinovic,Nikoloz Basilashvili,doha,hard,atp_500,0,0,2,1589.95,1569.46
2015,2015-01-05,Nikoloz Basilashvili,Filip Krajinovic,doha,hard,atp_500,1,2,0,1566.52,1587.02
2015,2015-01-05,Dustin Brown,Paolo Lorenzi,doha,hard,atp_500,1,2,0,1554.9,1575.26
2015,2015-01-05,Paolo Lorenzi,Dustin Brown,doha,hard,atp_500,0,0,2,1575.9,1555.54
2015,2015-01-05,Simone Bolelli,Benjamin Becker,doha,hard,atp_500,1,2,0,1581,1601.1
2015,2015-01-05,Benjamin Becker,Simone Bolelli,doha,hard,atp_500,0,0,2,1597.3,1577.2
2015,2015-01-05,Jan-Lennard Struff,Philipp Kohlschreiber,doha,hard,atp_500,1,2,1,1578.1,1600.77
2015,2015-01-05,Philipp Kohlschreiber,Jan-Lennard Struff,doha,hard,atp_500,0,1,2,1641.5,1618.83
2015,2015-01-05,Denis Istomin,Tomas Berdych,doha,hard,atp_500,0,0,2,1585,1581.02
2015,2015-01-05,Tomas Berdych,Denis Istomin,doha,hard,atp_500,1,2,0,1960,1963.98
