season,date,player,tournament,surface,elo
2017,2017-01-01,Elitsa Kostova,brisbane,hard,1563.08
2017,2017-01-01,Viktoriya Tomova,brisbane,hard,1517.92
2017,2017-01-01,Anastasia Rodionova,brisbane,hard,1484.87
2017,2017-01-01,Carina Witthoeft,brisbane,hard,1589.93
2017,2017-01-01,Sachia Vickery,brisbane,hard,1522.19
2017,2017-01-01,Kateryna Kozlova,brisbane,hard,1521.61
2017,2017-01-16,Misaki Doi,australian_open,hard,1580.38
2017,2017-01-16,Pauline Parmentier,australian_open,hard,1632.72
2017,2017-01-16,Shuai Peng,australian_open,hard,1626.08
2017,2017-01-16,Daria Kasatkina,australian_open,hard,1613.22
2017,2017-01-16,Anna Tatishvili,australian_open,hard,1485.61
2017,2017-01-16,Jaimee Fourlis,australian_open,hard,1550.29
2017,2017-01-16,Viktorija Golubic,australian_open,hard,1562.34
2017,2017-01-16,Kristyna Pliskova,australian_open,hard,1637.26
2017,2017-01-16,Kirsten Flipkens,australian_open,hard,1578.45
2017,2017-01-16,Johanna Konta,australian_open,hard,1877.85
2017,2017-01-16,Lin Zhu,australian_open,hard,1516.54
2017,2017-01-16,Jelena Ostapenko,australian_open,hard,1654.06
2017,2017-01-16,Natalia Vikhlyantseva,australian_open,hard,1590.37
2017,2017-01-16,Vania King,australian_open,hard,1535.63
2017,2017-01-16,Karolina Pliskova,australian_open,hard,1967.31
2017,2017-01-16,Sara Sorribes Tormo,australian_open,hard,1553.59
2017,2017-01-16,Galina Voskoboeva,australian_open,hard,1500.31
2017,2017-01-16,Elina Svitolina,australian_open,hard,1803.09
2017,2017-01-16,Kiki Bertens,australian_open,hard,1643.86
2017,2017-01-16,Varvara Lepchenko,australian_open,hard,1626.14
2017,2017-01-16,Danka Kovinic,australian_open,hard,1627.04
2017,2017-01-16,Saisai Zheng,australian_open,hard,1537.26
2017,2017-01-16,Samantha Crawford,australian_open,hard,1599.52
2017,2017-01-16,Lauren Davis,australian_open,hard,1551.28
2017,2017-01-16,Ana Bogdan,australian_open,hard,1525.8
2017,2017-01-16,Elena Vesnina,australian_open,hard,1746.3
2017,2017-01-16,Naomi Osaka,australian_open,hard,1646.53
2017,2017-01-16,Luksika Kumkhum,australian_open,hard,1500.87
2017,2017-01-16,Jennifer Brady,australian_open,hard,1590.08
2017,2017-01-16,Maryna Zanevska,australian_open,hard,1509.32
2017,2017-01-16,Annika Beck,australian_open,hard,1561.74
2017,2017-01-16,Ashleigh Barty,australian_open,hard,1567.46
2017,2017-01-16,Myrtille Georges,australian_open,hard,1484.61
2017,2017-01-16,Alize Cornet,australian_open,hard,1543.19
2017,2017-01-16,Kate Makarova,australian_open,hard,1546.8
2017,2017-01-16,Ekaterina Alexandrova,australian_open,hard,1512.8
2017,2017-01-16,Christina Mchale,australian_open,hard,1577.38
2017,2017-01-16,Kristina Kucova,australian_open,hard,1622.92
2017,2017-01-16,Su Wei Hsieh,australian_open,hard,1544.56
2017,2017-01-16,Karin Knapp,australian_open,hard,1495.24
2017,2017-01-16,Kristina Mladenovic,australian_open,hard,1583.41
2017,2017-01-16,Ana Konjuh,australian_open,hard,1659.49
2017,2017-01-16,Anastasia Pavlyuchenkova,australian_open,hard,1692.25
2017,2017-01-16,Evgeniya Rodina,australian_open,hard,1545.35
2017,2017-01-16,Lara Arruabarrena,australian_open,hard,1558.32
2017,2017-01-16,Yulia Putintseva,australian_open,hard,1678.98
2017,2017-01-16,Serena Williams,australian_open,hard,2208.34
2017,2017-01-16,Belinda Bencic,australian_open,hard,1620.56
2017,2017-01-16,Denisa Allertova,australian_open,hard,1494.94
2017,2017-01-16,Dominika Cibulkova,australian_open,hard,1992.56
2017,2017-01-16,Marina Erakovic,australian_open,hard,1514.14
2017,2017-01-16,Garbine Muguruza,australian_open,hard,1546.96
2017,2017-01-16,Anastasija Sevastova,australian_open,hard,1674.07
2017,2017-01-16,Nao Hibino,australian_open,hard,1536.63
2017,2017-01-16,Lesia Tsurenko,australian_open,hard,1599.16
2017,2017-01-16,Angelique Kerber,australian_open,hard,2409.14
2017,2017-01-16,Lucie Safarova,australian_open,hard,1634.51
2017,2017-01-16,Yanina Wickmayer,australian_open,hard,1557.89
2017,2017-01-16,Madison Brengle,australian_open,hard,1537.19
2017,2017-01-16,Alison Riske Amritraj,australian_open,hard,1549.81
2017,2017-01-16,Timea Babos,australian_open,hard,1608.09
2017,2017-01-16,Nicole Gibbs,australian_open,hard,1623.61
2017,2017-01-16,Heather Watson,australian_open,hard,1636.61
2017,2017-01-16,Samantha Stosur,australian_open,hard,1657.29
2017,2017-01-16,Yaroslava Shvedova,australian_open,hard,1575.78
2017,2017-01-16,Irina Camelia Begu,australian_open,hard,1554.32
2017,2017-01-16,Mariana Duque Marino,australian_open,hard,1493.05
2017,2017-01-16,Svetlana Kuznetsova,australian_open,hard,1918.45
2017,2017-01-16,Coco Vandeweghe,australian_open,hard,1681.31
2017,2017-01-16,Roberta Vinci,australian_open,hard,1670.89
2017,2017-01-16,Julia Goerges,australian_open,hard,1651.15
2017,2017-01-16,Katerina Siniakova,australian_open,hard,1572.15
2017,2017-01-16,Timea Bacsinszky,australian_open,hard,1757.69
2017,2017-01-16,Camila Giorgi,australian_open,hard,1553.91
2017,2017-01-16,Simona Halep,australian_open,hard,1908.89
2017,2017-01-16,Shelby Rogers,australian_open,hard,1711.61
2017,2017-01-16,Carina Witthoeft,australian_open,hard,1622.46
2017,2017-01-16,Eri Hozumi,australian_open,hard,1491.77
2017,2017-01-16,Cagla Buyukakcay,australian_open,hard,1537.76
2017,2017-01-16,Oceane Dodin,australian_open,hard,1625.54
