event_id,tournament
1,Andorra Chall. Women (indoor)
2,Angers Chall. Women (indoor)
3,Angers Chall. Women - Qualification (indoor)
4,Antalya 2 Chall. Women
5,Antalya 2 Chall. Women - Qualification
6,Antalya 3 Chall. Women
7,Antalya 3 Chall. Women - Qualification
8,Antalya Chall. Women
9,Antalya Chall. Women - Qualification
10,Austin Chall. Women
11,Austin Chall. Women - Qualification
12,Bari Chall. Women
13,Bari Chall. Women - Qualification
14,Barranquilla Chall. Women
15,Barranquilla Chall. Women - Qualification
16,Bastad Chall. Women
17,Belgrade Chall. Women
18,Belgrade Chall. Women - Qualification
19,Birmingham Chall. Women
20,Birmingham Chall. Women - Qualification
21,Bol Chall. Women
22,Bol Chall. Women - Qualification
23,Brescia Chall. Women
24,Brescia Chall. Women - Qualification
25,Bucharest Chall. Women
26,Bucharest Chall. Women - Qualification
27,Budapest Chall. Women
28,Budapest Chall. Women - Qualification
29,Buenos Aires Chall. Women
30,Buenos Aires Chall. Women - Qualification
31,Caldas da Rainha Chall. Women
32,Caldas da Rainha Chall. Women - Qualification
33,Cali Chall. Women
34,Cali Chall. Women - Qualification
35,Canberra Chall. Women
36,Canberra Chall. Women - Qualification
37,Cancun Chall. Women
38,Cancun Chall. Women - Qualification
39,Changsha Chall. Women
40,Changsha Chall. Women - Qualification
41,Charleston 2 Chall. Women
42,Charleston 2 Chall. Women - Qualification
43,Charleston Chall. Women
44,Charleston Chall. Women - Qualification
45,Chicago Chall. Women
46,Chicago Chall. Women - Qualification
47,Colina Chall. Women
48,Colina Chall. Women - Qualification
49,Columbus Chall. Women
50,Columbus Chall. Women - Qualification
51,Concord Chall. Women
52,Concord Chall. Women - Qualification
53,Contrexeville Chall. Women
54,Contrexeville Chall. Women - Qualification
55,Dubrovnik Chall. Women
56,Dubrovnik Chall. Women - Qualification
57,Figueira Da Foz Chall. Women
58,Figueira Da Foz Chall. Women - Qualification
59,Florence Chall. Women
60,Florence Chall. Women - Qualification
61,Florianopolis Chall. Women
62,Florianopolis Chall. Women - Qualification
63,Foggia Chall. Women
64,Foggia Chall. Women - Qualification
65,Gaiba Chall. Women
66,Gaiba Chall. Women - Qualification
67,Grado Chall. Women
68,Grado Chall. Women - Qualification
69,Guadalajara Chall. Women
70,Guadalajara Chall. Women - Qualification
71,Hamburg Chall. Women
72,Hamburg Chall. Women - Qualification
73,Hong Kong Chall. Women
74,Hong Kong Chall. Women - Qualification
75,Huzhou Chall. Women
76,Huzhou Chall. Women - Qualification
77,Iasi Chall. Women
78,Iasi Chall. Women - Qualification
79,Ilkley Chall. Women
80,Ilkley Chall. Women - Qualification
81,Istanbul 2 Chall. Women
82,Istanbul 2 Chall. Women - Qualification
83,Istanbul Chall. Women
84,Istanbul Chall. Women - Qualification
85,Jinan Chall. Women
86,Jinan Chall. Women - Qualification
87,Jingshan Chall. Women
88,Jingshan Chall. Women - Qualification
89,Jiujiang Chall. Women
90,Jiujiang Chall. Women - Qualification
91,Karlsruhe Chall. Women
92,Kitzbuhel Chall. Women
93,Kitzbuhel Chall. Women - Qualification
94,La Bisbal D'Emporda Chall. Women
95,La Bisbal D'Emporda Chall. Women - Qualification
96,Les Sables d'Olonne Chall. Women (indoor)
97,Les Sables d'Olonne Chall. Women - Qualification (indoor)
98,Limoges Chall. Women (indoor)
99,Limoges Chall. Women - Qualification (indoor)
100,Ljubljana Chall. Women
101,Ljubljana Chall. Women - Qualification
102,Lleida Chall. Women
103,Lleida Chall. Women - Qualification
104,Madrid Chall. Women
105,Madrid Chall. Women - Qualification
106,Makarska Chall. Women
107,Makarska Chall. Women - Qualification
108,Mallorca Chall. Women
109,Mallorca Chall. Women - Qualification
110,Manila Chall. Women
111,Manila Chall. Women - Qualification
112,Marbella Chall. Women
113,Midland Chall. Women (indoor)
114,Midland Chall. Women - Qualification (indoor)
115,Modena Chall. Women
116,Modena Chall. Women - Qualification
117,Montevideo Chall. Women
118,Montevideo Chall. Women - Qualification
119,Montreux Chall. Women
120,Montreux Chall. Women - Qualification
121,Mumbai Chall. Women
