y,d,e,r,s,h,a,w,hs,as,tt
2022,20220707,16,5,0,824052,897792,2,0,2,4
2022,20220707,53,2,0,811222,425404,2,0,2,4
2022,20220707,16,5,0,331161,152735,1,2,0,4
2022,20220707,53,2,0,342785,480371,2,0,2,4
2022,20220707,16,5,0,149280,537908,1,2,1,4
2022,20220707,53,2,0,673787,303568,1,2,1,4
2022,20220708,16,6,0,897792,191141,2,0,2,4
2022,20220708,53,5,0,604556,441079,2,0,2,4
2022,20220708,53,5,0,480371,673787,1,,,4
2022,20220708,16,6,0,331161,149280,2,0,2,4
2022,20220708,53,5,0,610520,397015,1,2,1,4
2022,20220708,53,5,0,324333,425404,2,0,2,4
2022,20220709,16,3,0,191141,149280,1,2,1,4
2022,20220709,53,6,0,480371,441079,2,0,2,4
2022,20220709,53,6,0,610520,425404,2,0,2,4
2022,20220710,53,3,0,425404,441079,2,1,2,4
2022,20220731,78,4,0,532132,405670,1,,,4
2022,20220801,78,4,0,904608,779847,1,2,1,4
2022,20220801,78,4,0,548563,224538,1,2,0,4
2022,20220801,78,4,0,543394,139977,1,2,0,4
2022,20220801,78,4,0,704715,449857,2,1,2,4
2022,20220801,78,4,0,222899,505128,1,2,0,4
2022,20220801,78,4,0,596468,104163,1,2,1,4
2022,20220801,78,4,0,548563,532132,1,2,0,4
2022,20220801,77,1,0,655613,923407,2,1,2,4
2022,20220801,78,4,0,543394,904608,1,2,0,4
2022,20220801,77,1,0,651454,939749,2,0,2,4
2022,20220801,78,4,0,222899,596468,1,2,0,4
2022,20220801,78,4,0,699414,449857,1,2,0,4
2022,20220802,77,1,0,103995,926087,2,0,2,4
2022,20220802,77,1,0,679599,778958,1,2,0,4
2022,20220802,77,1,0,115828,129912,1,2,0,4
2022,20220802,77,1,0,826019,403135,1,2,1,4
2022,20220802,77,1,0,532132,149280,2,0,2,4
2022,20220802,77,1,0,543394,824052,1,0,1,4
2022,20220802,77,1,0,425197,904608,1,2,0,4
2022,20220802,77,1,0,255338,416641,2,0,2,4
2022,20220802,77,1,0,548563,710939,1,2,0,4
2022,20220802,77,1,0,289001,896973,2,0,2,4
2022,20220802,77,1,0,811222,728537,1,2,0,4
2022,20220802,77,1,0,988932,699414,2,0,2,4
2022,20220802,77,1,0,499387,222899,1,2,0,4
2022,20220803,77,2,0,149280,939749,1,2,1,4
2022,20220803,77,2,0,543394,548563,2,0,2,4
2022,20220803,77,1,0,288191,252996,1,2,0,4
2022,20220803,77,2,0,679599,923407,1,2,0,4
2022,20220803,77,2,0,115828,416641,2,0,2,4
2022,20220804,77,2,0,826019,811222,1,2,0,4
2022,20220804,77,2,0,288191,926087,1,2,0,4
2022,20220804,77,2,0,499387,896973,2,0,2,4
2022,20220804,77,2,0,699414,425197,2,0,2,4
2022,20220805,77,5,0,826019,416641,2,0,2,4
2022,20220805,77,5,0,149280,679599,2,1,2,4
2022,20220805,77,5,0,425197,548563,2,0,2,4
2022,20220805,77,5,0,288191,896973,1,2,0,4
2022,20220806,77,6,0,548563,288191,2,0,2,4
2022,20220806,77,6,0,679599,416641,2,0,2,4
2022,20220807,77,3,0,288191,416641,1,2,1,4
2022,20220807,52,4,2,482165,997652,1,2,0,4
2022,20220807,52,4,2,673298,237771,2,0,2,4
2022,20220807,52,4,2,812349,741705,2,0,2,4
2022,20220807,52,4,2,743463,320352,1,2,0,4
2022,20220807,52,4,2,766060,434532,2,0,2,4
2022,20220807,52,4,2,693081,981555,1,2,0,4
2022,20220807,52,4,2,804248,540114,2,0,2,4
2022,20220807,52,4,2,930566,776122,2,0,2,4
2022,20220808,52,4,2,743463,741705,1,2,0,4
2022,20220808,52,4,2,482165,237771,2,1,2,4
2022,20220808,51,1,2,362890,869181,1,2,0,4
2022,20220808,52,4,2,693081,434532,1,2,0,4
2022,20220808,52,4,2,540114,776122,1,2,0,4
2022,20220808,51,1,2,563551,254032,1,2,0,4
2022,20220808,51,1,2,126226,759919,1,2,1,4
2022,20220808,51,1,2,759920,323630,1,2,0,4
2022,20220808,51,1,2,948848,460138,1,2,0,4
2022,20220808,51,1,2,663060,245242,2,0,2,4
2022,20220809,51,1,2,743463,568609,1,2,0,4
2022,20220809,51,1,2,243915,520895,2,1,2,4
2022,20220809,51,1,2,460146,421894,2,1,2,4
2022,20220809,51,1,2,988957,529952,2,0,2,4
2022,20220809,51,1,2,237771,557676,2,0,2,4
2022,20220809,51,1,2,482165,540114,2,0,2,4
2022,20220809,51,1,2,746173,434479,1,2,0,4
2022,20220809,51,1,2,701534,988932,2,1,2,4
2022,20220809,51,1,2,693081,141528,2,0,2,4
2022,20220809,51,1,2,359411,970027,1,2,0,4
2022,20220810,51,2,2,948848,759920,1,2,1,4
2022,20220810,51,2,2,362890,520895,1,2,1,4
2022,20220810,51,2,2,126226,557676,2,1,2,4
2022,20220810,51,2,2,245242,743463,1,2,0,4
2022,20220811,51,2,2,746173,988932,1,2,1,4
2022,20220811,51,2,2,540114,563551,1,1,0,4
2022,20220811,51,2,2,421894,141528,1,2,1,4
2022,20220811,51,2,2,359411,529952,1,2,0,4
2022,20220812,51,5,2,362890,746173,2,0,2,4
