record_id,year,canonical_match_id,tournament_hist,tournament_pbp_source,tournament_td_source,round,surface,winner,loser,historical_score,pbp_derived_score_gamewise,independent_recheck_score_match,td_source_score,pbp_source_date,td_source_date,date_diff_days,pbp_server1,pbp_server2,fix_type,real_matching_field_multitoken_risk
2015|1921,2015,2015-W-PM-USA-02A-2015#69,Miami,MiamiOpen-WTAMiami,Sony Ericsson Open,R32,Hard,Simona Halep,Camila Giorgi,6-4 7-5,"[[6, 4], [7, 5]]",True,6-4 7-5,2015-03-29,2015-03-29,0,Camila Giorgi,Simona Halep,tournament_alias,False
2013|1487,2013,2013-W-PM-USA-02A-2013#31,Miami,SonyOpenTennis-WTAMiami,Sony Ericsson Open,R128,Hard,Laura Robson,Camila Giorgi,6-2 4-6 6-3,"[[6, 2], [4, 6], [6, 3]]",True,6-2 4-6 6-3,2013-03-20,2013-03-20,0,Laura Robson,Camila Giorgi,tournament_alias,False
2013|2088,2013,2013-W-PR-USA-03A-2013#9,Cincinnati,Western&amp;SouthernOpen-WTACincinnati,Western & Southern Financial Group Women's Open,R64,Hard,Elena Vesnina,Kirsten Flipkens,3-6 6-1 6-3,"[[3, 6], [6, 1], [6, 3]]",True,3-6 6-1 6-3,2013-08-13,2013-08-13,0,Kirsten Flipkens,Elena Vesnina,tournament_alias,False
2013|1486,2013,2013-W-PM-USA-02A-2013#30,Miami,SonyOpenTennis-WTAMiami,Sony Ericsson Open,R128,Hard,Jamie Hampton,Monica Niculescu,6-4 6-3,"[[6, 4], [6, 3]]",True,6-4 6-3,2013-03-20,2013-03-20,0,Monica Niculescu,Jamie Hampton,tournament_alias,False
2014|1544,2014,2014-W-PM-USA-02A-2014#43,Miami,SonyOpenTennis-WTAMiami,Sony Ericsson Open,R64,Hard,Kirsten Flipkens,Virginie Razzano,6-1 3-6 6-3,"[[6, 1], [3, 6], [6, 3]]",True,6-1 3-6 6-3,2014-03-20,2014-03-20,0,Kirsten Flipkens,Virginie Razzano,tournament_alias,False
2012|2258,2012,2012-W-PR-USA-04A-2012#16,Cincinnati,Western&amp;SouthernOpen-WTACincinnati.html,Western & Southern Financial Group Women's Open,R64,Hard,Roberta Vinci,Madison Keys,6-3 6-3,"[[6, 3], [6, 3]]",True,6-3 6-3,2012-08-14,2012-08-14,0,Madison Keys,Roberta Vinci,tournament_alias,False
2014|1592,2014,2014-W-PM-USA-02A-2014#91,Miami,SonyOpenTennis-WTAMiami,Sony Ericsson Open,QF,Hard,Dominika Cibulkova,Agnieszka Radwanska,3-6 7-6(5) 6-3,"[[3, 6], [7, 6], [6, 3]]",True,3-6 7-6 6-3,2014-03-26,2014-03-26,0,Dominika Cibulkova,Agnieszka Radwanska,tournament_alias,False
2014|1512,2014,2014-W-PM-USA-02A-2014#11,Miami,SonyOpenTennis-WTAMiami,Sony Ericsson Open,R128,Hard,Virginie Razzano,Heather Watson,6-4 6-0,"[[6, 4], [6, 0]]",True,6-4 6-0,2014-03-19,2014-03-19,0,Heather Watson,Virginie Razzano,tournament_alias,False
2013|1505,2013,2013-W-PM-USA-02A-2013#49,Miami,SonyOpenTennis-WTAMiami,Sony Ericsson Open,R64,Hard,Sara Errani,Daniela Hantuchova,6-3 6-1,"[[6, 3], [6, 1]]",True,6-3 6-1,2013-03-23,2013-03-23,0,Daniela Hantuchova,Sara Errani,tournament_alias,False
2015|1906,2015,2015-W-PM-USA-02A-2015#54,Miami,MiamiOpen-WTAMiami,Sony Ericsson Open,R64,Hard,Samantha Stosur,Pauline Parmentier,6-1 3-6 6-0,"[[6, 1], [3, 6], [6, 0]]",True,6-1 3-6 6-0,2015-03-26,2015-03-26,0,Samantha Stosur,Pauline Parmentier,tournament_alias,False
2014|2206,2014,2014-W-PR-USA-03A-2014#29,Cincinnati,Western&amp;SouthernOpen-WTACincinnati,Western & Southern Financial Group Women's Open,R32,Hard,Agnieszka Radwanska,Kurumi Nara,6-2 6-2,"[[6, 2], [6, 2]]",True,6-2 6-2,2014-08-13,2014-08-13,0,Agnieszka Radwanska,Kurumi Nara,tournament_alias,False
2013|1528,2013,2013-W-PM-USA-02A-2013#72,Miami,SonyOpenTennis-WTAMiami,Sony Ericsson Open,R32,Hard,Kirsten Flipkens,Petra Kvitova,6-0 4-6 6-1,"[[6, 0], [4, 6], [6, 1]]",True,6-0 4-6 6-1,2013-03-23,2013-03-23,0,Kirsten Flipkens,Petra Kvitova,tournament_alias,False
2012|2278,2012,2012-W-PR-USA-04A-2012#36,Cincinnati,Western&amp;SouthernOpen-WTACincinnati.html,Western & Southern Financial Group Women's Open,R32,Hard,Angelique Kerber,Timea Babos,3-6 6-1 6-2,"[[3, 6], [6, 1], [6, 2]]",True,3-6 6-1 6-2,2012-08-14,2012-08-14,0,Timea Babos,Angelique Kerber,tournament_alias,False
2012|1125,2012,2012-W-INT-POR-01A-2012#27,Estoril,EstorilOpen-WTAEstoril.html,Estoril Open,QF,Clay,Carla Suarez Navarro,Silvia Soler Espinosa,6-3 6-3,"[[6, 3], [6, 3]]",True,6-3 6-3,2012-05-03,2012-05-03,0,Silvia Soler-Espinosa,Carla Suarez Navarro,compound_surname,True
2012|1753,2012,2012-W-PR-BEL-01A-2012#2,Brussels,BrusselsOpen-WTABrussels,Brussels Open,R32,Clay,Alison Van Uytvanck,Ksenia Pervak,6-3 5-7 6-4,"[[6, 3], [5, 7], [6, 4]]",True,6-3 5-7 6-4,2012-05-21,2012-05-21,0,Alison Van Uytvanck,Ksenia Pervak,compound_surname,True
2012|2657,2012,2012-W-SL-GBR-01A-2012#78,Wimbledon,Ladies'WimbledonSingles2013.html,Wimbledon,R64,Grass,Maria Kirilenko,Lourdes Dominguez Lino,6-1 6-2,"[[6, 1], [6, 2]]",True,6-1 6-2,2012-06-27,2012-06-27,0,Maria Kirilenko,Lourdes Dominguez-Lino,compound_surname,False
