date,tournament,surface,round,winner_name,loser_name,score,best_of,sackmann_source_ref,sackmann_tourney_id,sackmann_match_num,sackmann_tourney_level,provider
2012-01-01,Brisbane,Hard,R32,Andy Murray,Mikhail Kukushkin,5-7 6-3 6-2,3,2012-339-1,2012-339,1,250,sackmann-local
2012-01-01,Brisbane,Hard,R32,Jarkko Nieminen,Jesse Levine,7-6(4) 6-2,3,2012-339-10,2012-339,10,250,sackmann-local
2012-01-01,Brisbane,Hard,R32,Igor Andreev,Adrian Mannarino,7-6(6) 6-2,3,2012-339-11,2012-339,11,250,sackmann-local
2012-01-01,Brisbane,Hard,R32,Alexandr Dolgopolov,Alejandro Falla,7-6(3) 6-2,3,2012-339-12,2012-339,12,250,sackmann-local
2012-01-01,Brisbane,Hard,R32,Philipp Petzschner,Jurgen Melzer,6-1 7-5,3,2012-339-13,2012-339,13,250,sackmann-local
2012-01-01,Brisbane,Hard,R32,Santiago Giraldo,John Millman,6-3 6-3,3,2012-339-14,2012-339,14,250,sackmann-local
2012-01-01,Brisbane,Hard,R32,James Duckworth,Nicolas Mahut,6-4 6-4,3,2012-339-15,2012-339,15,250,sackmann-local
2012-01-01,Brisbane,Hard,R32,Gilles Simon,Ryan Sweeting,6-3 6-4,3,2012-339-16,2012-339,16,250,sackmann-local
2012-01-01,Brisbane,Hard,R16,Andy Murray,Gilles Muller,4-6 7-6(4) 6-0,3,2012-339-17,2012-339,17,250,sackmann-local
2012-01-01,Brisbane,Hard,R16,Marcos Baghdatis,Kei Nishikori,6-3 6-4,3,2012-339-18,2012-339,18,250,sackmann-local
2012-01-01,Brisbane,Hard,R16,Denis Istomin,Tommy Haas,W/O,3,2012-339-19,2012-339,19,250,sackmann-local
2012-01-01,Brisbane,Hard,R32,Gilles Muller,Ricardo Mello,6-7(3) 7-6(4) 6-3,3,2012-339-2,2012-339,2,250,sackmann-local
2012-01-01,Brisbane,Hard,R16,Bernard Tomic,Tatsuma Ito,6-1 6-2,3,2012-339-20,2012-339,20,250,sackmann-local
2012-01-01,Brisbane,Hard,R16,Radek Stepanek,Jarkko Nieminen,7-6(3) 6-2,3,2012-339-21,2012-339,21,250,sackmann-local
2012-01-01,Brisbane,Hard,R16,Alexandr Dolgopolov,Igor Andreev,6-7(3) 7-6(9) 6-2,3,2012-339-22,2012-339,22,250,sackmann-local
