date,tournament,surface,round,winner_name,loser_name,score,best_of,sackmann_source_ref,sackmann_tourney_id,sackmann_match_num,sackmann_tourney_level,provider
2012-12-31,Auckland,Hard,R32,Agnieszka Radwanska,Greta Arn,6-2 6-2,3,2013-1049-1,2013-1049,1,I,sackmann-local
2012-12-31,Auckland,Hard,R32,Elena Vesnina,Eugenie Bouchard,7-5 6-3,3,2013-1049-10,2013-1049,10,I,sackmann-local
2012-12-31,Auckland,Hard,R32,Yaroslava Shvedova,Lara Arruabarrena,6-3 6-2,3,2013-1049-11,2013-1049,11,I,sackmann-local
2012-12-31,Auckland,Hard,R32,Jamie Hampton,Jie Zheng,7-5 6-1,3,2013-1049-12,2013-1049,12,I,sackmann-local
2012-12-31,Auckland,Hard,R32,Marina Erakovic,Stephanie Dubois,6-2 6-1,3,2013-1049-13,2013-1049,13,I,sackmann-local
2012-12-31,Auckland,Hard,R32,Kiki Bertens,Svetlana Kuznetsova,6-7(5) 6-2 7-5,3,2013-1049-14,2013-1049,14,I,sackmann-local
2012-12-31,Auckland,Hard,R32,Heather Watson,Sorana Cirstea,6-3 0-0 RET,3,2013-1049-15,2013-1049,15,I,sackmann-local
2012-12-31,Auckland,Hard,R32,Pauline Parmentier,Christina Mchale,6-4 6-1,3,2013-1049-16,2013-1049,16,I,sackmann-local
2012-12-31,Auckland,Hard,R16,Agnieszka Radwanska,Simona Halep,6-3 6-1,3,2013-1049-17,2013-1049,17,I,sackmann-local
2012-12-31,Auckland,Hard,R16,Elena Vesnina,Yaroslava Shvedova,6-2 6-3,3,2013-1049-18,2013-1049,18,I,sackmann-local
2012-12-31,Auckland,Hard,R16,Jamie Hampton,Marina Erakovic,6-1 7-6(5),3,2013-1049-19,2013-1049,19,I,sackmann-local
2012-12-31,Auckland,Hard,R32,Kirsten Flipkens,Galina Voskoboeva,6-1 6-7(2) 7-5,3,2013-1049-2,2013-1049,2,I,sackmann-local
2012-12-31,Auckland,Hard,R16,Kiki Bertens,Heather Watson,6-4 3-6 6-3,3,2013-1049-20,2013-1049,20,I,sackmann-local
2012-12-31,Auckland,Hard,R16,Kirsten Flipkens,Pauline Parmentier,6-2 6-2,3,2013-1049-21,2013-1049,21,I,sackmann-local
2012-12-31,Auckland,Hard,R16,Yanina Wickmayer,Romina Oprandi,6-3 6-0,3,2013-1049-22,2013-1049,22,I,sackmann-local
2012-12-31,Auckland,Hard,R16,Mona Barthel,Eleni Daniilidou,7-6(6) 6-2,3,2013-1049-23,2013-1049,23,I,sackmann-local
2012-12-31,Auckland,Hard,R16,Johanna Larsson,Julia Goerges,7-5 6-7(1) 6-3,3,2013-1049-24,2013-1049,24,I,sackmann-local
2012-12-31,Auckland,Hard,QF,Agnieszka Radwanska,Elena Vesnina,6-3 6-3,3,2013-1049-25,2013-1049,25,I,sackmann-local
2012-12-31,Auckland,Hard,QF,Jamie Hampton,Kiki Bertens,6-1 6-7(5) 6-2,3,2013-1049-26,2013-1049,26,I,sackmann-local
2012-12-31,Auckland,Hard,QF,Yanina Wickmayer,Kirsten Flipkens,6-3 6-4,3,2013-1049-27,2013-1049,27,I,sackmann-local
2012-12-31,Auckland,Hard,QF,Mona Barthel,Johanna Larsson,6-2 6-1,3,2013-1049-28,2013-1049,28,I,sackmann-local
2012-12-31,Auckland,Hard,SF,Agnieszka Radwanska,Jamie Hampton,7-6(4) 7-6(3),3,2013-1049-29,2013-1049,29,I,sackmann-local
2012-12-31,Auckland,Hard,R32,Romina Oprandi,Nudnida Luangnam,6-0 6-2,3,2013-1049-3,2013-1049,3,I,sackmann-local
2012-12-31,Auckland,Hard,SF,Yanina Wickmayer,Mona Barthel,6-4 1-6 7-6(3),3,2013-1049-30,2013-1049,30,I,sackmann-local
2012-12-31,Auckland,Hard,F,Agnieszka Radwanska,Yanina Wickmayer,6-4 6-4,3,2013-1049-31,2013-1049,31,I,sackmann-local
2012-12-31,Auckland,Hard,R32,Yanina Wickmayer,Magdalena Rybarikova,7-6(3) 6-2,3,2013-1049-4,2013-1049,4,I,sackmann-local
2012-12-31,Auckland,Hard,R32,Mona Barthel,Grace Min,6-1 6-3,3,2013-1049-5,2013-1049,5,I,sackmann-local
2012-12-31,Auckland,Hard,R32,Eleni Daniilidou,Coco Vandeweghe,1-6 7-6(5) 6-4,3,2013-1049-6,2013-1049,6,I,sackmann-local
2012-12-31,Auckland,Hard,R32,Johanna Larsson,Misaki Doi,4-6 6-3 6-2,3,2013-1049-7,2013-1049,7,I,sackmann-local
2012-12-31,Auckland,Hard,R32,Julia Goerges,Anastasija Sevastova,6-3 6-4,3,2013-1049-8,2013-1049,8,I,sackmann-local
2012-12-31,Auckland,Hard,R32,Simona Halep,Arantxa Rus,4-6 6-3 6-1,3,2013-1049-9,2013-1049,9,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Na Li,Mandy Minella,6-4 6-0,3,2013-1063-1,2013-1063,1,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Ying Ying Duan,Kimiko Date Krumm,7-6(5) 7-5,3,2013-1063-10,2013-1063,10,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Bojana Jovanovski,Alexandra Cadantu Ignatik,6-3 6-1,3,2013-1063-11,2013-1063,11,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Su Wei Hsieh,Melinda Czink,6-3 6-2,3,2013-1063-12,2013-1063,12,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Annika Beck,Garbine Muguruza,6-2 6-7(7) 6-4,3,2013-1063-13,2013-1063,13,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Ayumi Morita,Yung Jan Chan,6-4 6-4,3,2013-1063-14,2013-1063,14,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Shuai Peng,Anne Keothavong,6-4 6-0,3,2013-1063-15,2013-1063,15,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Laura Robson,Edina Gallovits Hall,6-2 6-1,3,2013-1063-16,2013-1063,16,I,sackmann-local
2012-12-31,Shenzhen,Hard,R16,Na Li,Julia Cohen,6-3 6-4,3,2013-1063-17,2013-1063,17,I,sackmann-local
2012-12-31,Shenzhen,Hard,R16,Bojana Jovanovski,Ying Ying Duan,6-3 6-1,3,2013-1063-18,2013-1063,18,I,sackmann-local
2012-12-31,Shenzhen,Hard,R16,Annika Beck,Su Wei Hsieh,6-3 6-0,3,2013-1063-19,2013-1063,19,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Monica Niculescu,Saisai Zheng,6-4 7-5,3,2013-1063-2,2013-1063,2,I,sackmann-local
2012-12-31,Shenzhen,Hard,R16,Shuai Peng,Ayumi Morita,6-1 6-1,3,2013-1063-20,2013-1063,20,I,sackmann-local
2012-12-31,Shenzhen,Hard,R16,Monica Niculescu,Laura Robson,6-2 6-3,3,2013-1063-21,2013-1063,21,I,sackmann-local
2012-12-31,Shenzhen,Hard,R16,Yi Miao Zhou,Kai Chen Chang,4-6 6-2 7-6(3),3,2013-1063-22,2013-1063,22,I,sackmann-local
2012-12-31,Shenzhen,Hard,R16,Klara Koukalova,Elina Svitolina,6-4 6-3,3,2013-1063-23,2013-1063,23,I,sackmann-local
2012-12-31,Shenzhen,Hard,R16,Marion Bartoli,Stefanie Voegele,7-5 6-4,3,2013-1063-24,2013-1063,24,I,sackmann-local
2012-12-31,Shenzhen,Hard,QF,Na Li,Bojana Jovanovski,6-3 6-3,3,2013-1063-25,2013-1063,25,I,sackmann-local
2012-12-31,Shenzhen,Hard,QF,Shuai Peng,Annika Beck,2-6 7-5 6-2,3,2013-1063-26,2013-1063,26,I,sackmann-local
2012-12-31,Shenzhen,Hard,QF,Monica Niculescu,Yi Miao Zhou,6-4 6-2,3,2013-1063-27,2013-1063,27,I,sackmann-local
2012-12-31,Shenzhen,Hard,QF,Klara Koukalova,Marion Bartoli,6-3 6-2,3,2013-1063-28,2013-1063,28,I,sackmann-local
2012-12-31,Shenzhen,Hard,SF,Na Li,Shuai Peng,6-4 6-0,3,2013-1063-29,2013-1063,29,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Kai Chen Chang,Silvia Soler Espinosa,4-6 6-1 6-3,3,2013-1063-3,2013-1063,3,I,sackmann-local
2012-12-31,Shenzhen,Hard,SF,Klara Koukalova,Monica Niculescu,6-1 6-3,3,2013-1063-30,2013-1063,30,I,sackmann-local
2012-12-31,Shenzhen,Hard,F,Na Li,Klara Koukalova,6-3 1-6 7-5,3,2013-1063-31,2013-1063,31,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Yi Miao Zhou,Jessica Pegula,6-4 6-2,3,2013-1063-4,2013-1063,4,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Klara Koukalova,Andrea Hlavackova,6-1 6-1,3,2013-1063-5,2013-1063,5,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Elina Svitolina,Shahar Peer,6-1 6-3,3,2013-1063-6,2013-1063,6,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Stefanie Voegele,Timea Babos,6-4 7-5,3,2013-1063-7,2013-1063,7,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Marion Bartoli,Wing Yau Venise Chan,6-1 6-0,3,2013-1063-8,2013-1063,8,I,sackmann-local
2012-12-31,Shenzhen,Hard,R32,Julia Cohen,Nina Bratchikova,0-6 7-6(7) 7-5,3,2013-1063-9,2013-1063,9,I,sackmann-local
2012-12-31,Brisbane,Hard,R32,Sabine Lisicki,Lucie Safarova,6-2 6-4,3,2013-800-1,2013-800,1,P,sackmann-local
2012-12-31,Brisbane,Hard,R32,Alize Cornet,Bojana Bobusic,2-6 6-3 6-1,3,2013-800-10,2013-800,10,P,sackmann-local
2012-12-31,Brisbane,Hard,R32,Sloane Stephens,Dominika Cibulkova,6-2 6-3,3,2013-800-11,2013-800,11,P,sackmann-local
2012-12-31,Brisbane,Hard,R32,Sofia Arvidsson,Samantha Stosur,7-6(4) 7-5,3,2013-800-12,2013-800,12,P,sackmann-local
2012-12-31,Brisbane,Hard,R32,Petra Kvitova,Carla Suarez Navarro,6-3 6-4,3,2013-800-13,2013-800,13,P,sackmann-local
2012-12-31,Brisbane,Hard,R32,Anastasia Pavlyuchenkova,Lucie Hradecka,6-3 3-6 6-3,3,2013-800-14,2013-800,14,P,sackmann-local
2012-12-31,Brisbane,Hard,R16,Victoria Azarenka,Sabine Lisicki,6-3 6-3,3,2013-800-15,2013-800,15,P,sackmann-local
2012-12-31,Brisbane,Hard,R16,Ksenia Pervak,Urszula Radwanska,3-6 6-2 7-6(6),3,2013-800-16,2013-800,16,P,sackmann-local
2012-12-31,Brisbane,Hard,R16,Serena Williams,Alize Cornet,6-2 6-2,3,2013-800-17,2013-800,17,P,sackmann-local
2012-12-31,Brisbane,Hard,R16,Sloane Stephens,Sofia Arvidsson,6-3 6-4,3,2013-800-18,2013-800,18,P,sackmann-local
