y,d,e,r,s,h,a,w,hs,as,tt
2021,20210502,162,4,0,451003,526053,2,0,2,4
2021,20210502,162,4,0,844493,329751,1,2,1,4
2021,20210502,162,4,0,259144,841398,1,2,1,4
2021,20210502,162,4,0,364743,789917,2,1,2,4
2021,20210503,162,4,0,497843,789917,2,1,2,4
2021,20210503,162,4,0,897792,844493,1,2,1,4
2021,20210503,162,4,0,359411,526053,1,2,0,4
2021,20210503,161,1,0,289001,988932,2,0,2,4
2021,20210503,161,1,0,537908,819607,1,2,1,4
2021,20210503,161,1,0,151624,192862,2,1,2,4
2021,20210503,161,1,0,745434,357952,1,2,0,4
2021,20210503,161,1,0,455355,671871,1,2,0,4
2021,20210503,161,1,0,141528,927809,1,2,1,4
2021,20210504,161,1,0,259144,460146,2,1,2,4
2021,20210504,161,1,0,452225,342785,2,1,2,4
2021,20210504,161,1,0,688936,412476,1,2,1,4
2021,20210504,161,1,0,359411,323630,2,1,2,4
2021,20210504,161,1,0,146026,934936,1,2,1,4
2021,20210504,161,1,0,973113,324333,2,1,2,4
2021,20210504,161,1,0,783430,897792,2,1,2,4
2021,20210504,161,1,0,674631,152735,2,1,2,4
2021,20210504,161,1,0,114904,789917,1,2,1,4
2021,20210504,161,1,0,526053,393113,2,1,2,4
2021,20210505,161,2,0,455355,537908,2,1,2,4
2021,20210505,161,2,0,460146,988932,2,1,2,4
2021,20210505,161,2,0,141528,342785,1,2,0,4
2021,20210505,161,2,0,192862,745434,2,1,2,4
2021,20210505,161,2,0,146026,324333,2,1,2,4
2021,20210506,161,2,0,393113,152735,2,1,1,4
2021,20210506,161,2,0,688936,114904,2,0,2,4
2021,20210506,161,2,0,897792,323630,2,0,1,4
2021,20210507,161,5,0,324333,537908,1,2,0,4
2021,20210507,161,5,0,114904,988932,2,0,2,4
2021,20210507,161,5,0,323630,152735,1,2,0,4
2021,20210507,161,5,0,745434,141528,2,0,2,4
2021,20210508,161,6,0,324333,323630,1,2,0,4
2021,20210508,161,6,0,141528,988932,2,0,2,4
2021,20210509,161,3,0,988932,324333,1,2,0,4
2021,20210607,22,4,0,791769,460138,2,1,2,4
2021,20210607,22,4,0,982666,425404,2,1,2,4
2021,20210607,22,4,0,896973,950909,1,2,0,4
2021,20210607,21,1,0,443315,286370,2,1,2,4
2021,20210607,21,1,0,284953,684536,2,0,2,4
2021,20210607,22,4,0,386473,811222,2,0,2,4
2021,20210607,21,1,0,324333,936947,1,2,0,4
2021,20210607,21,1,0,460146,537908,2,0,1,4
2021,20210608,21,1,0,896973,737156,2,1,2,4
2021,20210608,21,1,0,425404,350354,2,0,2,4
2021,20210608,21,1,0,126226,861465,1,2,1,4
2021,20210608,21,1,0,460138,261026,2,0,2,4
2021,20210608,21,1,0,866608,710939,2,1,2,4
2021,20210608,21,1,0,441079,591336,1,2,0,4
2021,20210608,21,1,0,988957,357952,2,0,2,4
2021,20210608,21,1,0,457861,601584,2,1,2,4
2021,20210608,21,1,0,411769,556756,1,2,0,4
2021,20210608,21,1,0,232439,811222,2,1,2,4
2021,20210608,21,1,0,745434,403135,2,0,2,4
2021,20210608,21,1,0,759920,342785,2,0,2,4
2021,20210609,21,2,0,684536,286370,1,2,0,4
2021,20210609,21,2,0,324333,261026,1,2,1,4
